System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:52:41:989, 205233672993,    0.105,    3.000,  500,   5.111,   0.537,   0.149,   1.227,   0.129,   0.036, 47,  0,   0.000,   0.000,   0.000,   0.213,   0.022,   0.006,  19.000,  40.000, 121.000,   0.000,   0.000,    6,  95.341
13:52:42:098, 205505644201,    0.214,    5.000, 4300,   6.652,   1.262,   0.350,   3.119,   0.469,   0.130, 49,  0,   0.000,   0.000,   0.000,   0.035,   0.026,   0.007,  19.000,  40.000, 121.000,   0.000,   0.000,    5,  88.220
13:52:42:208, 205781418072,    0.324,    4.000,  600,   7.377,   2.077,   0.577,   3.191,   0.821,   0.228, 47,  0,   0.000,   0.000,   0.000,   0.087,   0.036,   0.010,  19.000,  40.000, 121.000,   0.000,   0.000,    3,  78.150
13:52:42:317, 206052172543,    0.433,    8.000, 3400,   6.617,   2.794,   0.776,   2.834,   1.129,   0.313, 49,  0,   0.000,   0.000,   0.000,   0.054,   0.042,   0.012,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  78.727
13:52:42:424, 206319364152,    0.540,    1.000,  500,   3.434,   3.162,   0.878,   0.957,   1.231,   0.342, 46,  0,   0.000,   0.000,   0.000,   0.075,   0.050,   0.014,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  84.868
13:52:42:533, 206592322980,    0.649,    4.000,  500,   6.166,   3.836,   1.066,   3.014,   1.561,   0.433, 48,  0,   0.000,   0.000,   0.000,   0.016,   0.051,   0.014,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  74.821
13:52:42:656, 206899123177,    0.772,    3.000,  600,   5.658,   4.532,   1.259,   1.667,   1.766,   0.490, 47,  0,   0.000,   0.000,   0.000,   0.048,   0.057,   0.016,  19.000,  40.000, 121.000,   0.000,   0.000,   94,  60.947
13:52:42:766, 207172580263,    0.882,    1.000,  600,   4.693,   5.046,   1.402,   1.994,   1.984,   0.551, 47,  0,   0.000,   0.000,   0.000,   0.106,   0.069,   0.019,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  77.887
13:52:42:877, 207449481025,    0.993,    2.000, 2900,   3.172,   5.398,   1.499,   0.782,   2.071,   0.575, 47,  0,   0.000,   0.000,   0.000,   0.077,   0.077,   0.021,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.035
13:52:42:986, 207722613018,    1.102,    1.000, 4500,   3.842,   5.818,   1.616,   1.177,   2.200,   0.611, 47,  0,   0.000,   0.000,   0.000,   0.095,   0.088,   0.024,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  78.292
13:52:43:095, 207993356492,    1.211,    3.000,  500,   5.584,   6.424,   1.784,   2.675,   2.490,   0.692, 47,  0,   0.000,   0.000,   0.000,   0.131,   0.102,   0.028,  19.000,  40.000, 121.000,   0.000,   0.000,    1,  84.133
13:52:43:204, 208266825915,    1.320,    1.000, 4500,   4.005,   6.863,   1.906,   0.986,   2.598,   0.722, 47,  0,   0.000,   0.000,   0.000,   0.095,   0.112,   0.031,  19.000,  40.000, 121.000,   0.000,   0.000,  299,  92.403
13:52:43:327, 208573129964,    1.443,    1.000, 4500,   3.130,   7.247,   2.013,   0.930,   2.712,   0.753, 47,  0,   0.000,   0.000,   0.000,   0.089,   0.123,   0.034,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  81.868
13:52:43:438, 208849458269,    1.554,    1.000,  500,   3.224,   7.604,   2.112,   0.699,   2.789,   0.775, 46,  0,   0.000,   0.000,   0.000,   0.109,   0.135,   0.038,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  73.820
13:52:43:546, 209120016023,    1.662,    1.000,  500,   4.189,   8.058,   2.238,   1.047,   2.903,   0.806, 46,  0,   0.000,   0.000,   0.000,   0.028,   0.138,   0.038,  19.000,  40.000, 121.000,   0.000,   0.000,  238,  52.581
13:52:43:654, 209389891756,    1.770,    3.000,  500,   6.069,   8.714,   2.421,   2.564,   3.180,   0.883, 47,  0,   0.000,   0.000,   0.000,   0.119,   0.151,   0.042,  19.000,  40.000, 121.000,   0.000,   0.000,    0,  82.813
